order date (DateOrders),shipping date (DateOrders),Shipping Mode,Order Region,Order Country,Order State,order_month,actual_delay_days,Days for shipment (scheduled),is_late,Category Name,Late_delivery_risk
2018-01-13 03:00:00,2018-01-16 03:00:00,Standard Class,Eastern Asia,China,Guangxi,1,3,4,0,Sporting Goods,0
2018-01-13 02:39:00,2018-01-15 02:39:00,Standard Class,Eastern Asia,China,Guangxi,1,2,4,0,Sporting Goods,0
2018-01-13 02:18:00,2018-01-19 02:18:00,Standard Class,Eastern Asia,China,Guangxi,1,6,4,1,Sporting Goods,1
2018-01-13 01:57:00,2018-01-18 01:57:00,Standard Class,South Asia,India,Delhi,1,5,4,1,Sporting Goods,1
2018-01-13 01:36:00,2018-01-17 01:36:00,Standard Class,South Asia,India,Delhi,1,4,4,0,Sporting Goods,0
2018-01-13 01:15:00,2018-01-15 01:15:00,First Class,Eastern Asia,China,Gansu,1,2,1,1,Sporting Goods,1
2018-01-13 00:54:00,2018-01-15 00:54:00,First Class,Eastern Asia,China,Gansu,1,2,1,1,Sporting Goods,1
2018-01-13 00:33:00,2018-01-15 00:33:00,First Class,Southeast Asia,Singapur,Singapur,1,2,1,1,Sporting Goods,1
2018-01-13 00:12:00,2018-01-15 00:12:00,First Class,South Asia,India,Karnataka,1,2,1,1,Sporting Goods,1
2018-01-12 23:51:00,2018-01-14 23:51:00,First Class,Oceania,Australia,Nueva Gales del Sur,1,2,1,1,Sporting Goods,1
2018-01-12 23:30:00,2018-01-13 11:30:00,Same Day,Oceania,Australia,Nueva Gales del Sur,1,0,0,0,Sporting Goods,1
2018-01-12 23:09:00,2018-01-13 11:09:00,Same Day,Oceania,Australia,Nueva Gales del Sur,1,0,0,0,Sporting Goods,0
2018-01-12 22:48:00,2018-01-13 10:48:00,Same Day,Southeast Asia,Singapur,Singapur,1,0,0,0,Sporting Goods,1
2018-01-12 22:27:00,2018-01-13 10:27:00,Same Day,Southeast Asia,Singapur,Singapur,1,0,0,0,Sporting Goods,1
2018-01-12 22:05:00,2018-01-16 22:05:00,Standard Class,Southeast Asia,Indonesia,Sumatra Septentrional,1,4,4,0,Sporting Goods,0
2018-01-12 21:44:00,2018-01-15 21:44:00,Standard Class,Southeast Asia,Indonesia,Sumatra Septentrional,1,3,4,0,Sporting Goods,0
2018-01-12 21:23:00,2018-01-14 21:23:00,Standard Class,Oceania,Australia,Territorio de la Capital Australiana,1,2,4,0,Sporting Goods,0
2018-01-12 21:02:00,2018-01-18 21:02:00,Standard Class,South Asia,India,Karnataka,1,6,4,1,Sporting Goods,1
2018-01-12 20:41:00,2018-01-17 20:41:00,Second Class,South Asia,India,Karnataka,1,5,2,1,Sporting Goods,1
2018-01-12 20:20:00,2018-01-16 20:20:00,Standard Class,Eastern Asia,China,Zhejiang,1,4,4,0,Sporting Goods,0
2016-02-24 13:57:00,2016-02-29 13:57:00,Second Class,South Asia,India,Uttar Pradesh,2,5,2,1,Cleats,1
2016-10-25 14:39:00,2016-10-27 14:39:00,Second Class,West Asia,Turquía,Bursa,10,2,2,0,Shop By Sport,0
2016-03-30 04:37:00,2016-04-05 04:37:00,Second Class,Oceania,Australia,Australia del Sur,3,6,2,1,Women's Apparel,1
2016-10-30 01:31:00,2016-11-01 01:31:00,Second Class,West Asia,Turquía,Estambul,10,2,2,0,Shop By Sport,0
2016-11-28 01:18:00,2016-12-01 01:18:00,Second Class,Eastern Asia,Mongolia,Ulán Bator,11,3,2,1,Women's Apparel,1
2016-12-31 15:47:00,2017-01-05 15:47:00,Second Class,West Asia,Turquía,Estambul,12,5,2,1,Women's Apparel,1
2015-10-25 06:24:00,2015-10-31 06:24:00,Second Class,South Asia,India,Rajastán,10,6,2,1,Women's Apparel,1
2016-06-11 15:12:00,2016-06-13 15:12:00,Second Class,West of USA ,Estados Unidos,Washington,6,2,2,0,Electronics,0
2016-08-24 21:45:00,2016-08-29 21:45:00,Second Class,West of USA ,Estados Unidos,California,8,5,2,1,Boxing & MMA,1
2016-04-13 10:12:00,2016-04-19 10:12:00,Second Class,West of USA ,Estados Unidos,California,4,6,2,1,Cleats,1
2016-05-22 14:10:00,2016-05-26 14:10:00,Second Class,US Center ,Estados Unidos,Kansas,5,4,2,1,Cleats,1
2016-10-04 22:55:00,2016-10-06 22:55:00,Second Class,West Africa,Nigeria,Cross River,10,2,2,0,Cardio Equipment,0
2016-11-08 12:32:00,2016-11-13 12:32:00,Second Class,Central Africa,República Democrática del Congo,Kinshasa,11,5,2,1,Shop By Sport,1
2016-11-11 05:21:00,2016-11-16 05:21:00,Second Class,West Africa,Senegal,Dakar,11,5,2,1,Trade-In,1
2016-12-08 00:14:00,2016-12-13 00:14:00,Second Class,North Africa,Marruecos,Gran Casablanca,12,5,2,1,Electronics,1
2015-07-07 05:31:00,2015-07-10 05:31:00,Second Class,Western Europe,Alemania,Renania del Norte-Westfalia,7,3,2,1,Cardio Equipment,1
2017-07-22 07:16:00,2017-07-24 07:16:00,Second Class,Western Europe,Francia,Isla de Francia,7,2,2,0,Cardio Equipment,0
2017-08-07 06:33:00,2017-08-13 06:33:00,Second Class,Western Europe,Francia,Países del Loira,8,6,2,1,Cardio Equipment,1
2015-09-22 07:41:00,2015-09-26 07:41:00,Second Class,Western Europe,Países Bajos,Groningen,9,4,2,1,Cleats,1
2017-07-02 09:03:00,2017-07-04 09:03:00,Second Class,Northern Europe,Reino Unido,Inglaterra,7,2,2,0,Cleats,0
2015-09-08 12:15:00,2015-09-11 12:15:00,Second Class,Northern Europe,Reino Unido,Inglaterra,9,3,2,1,Cleats,1
2017-08-20 07:03:00,2017-08-23 07:03:00,Second Class,Western Europe,Francia,Alsacia-Champaña-Ardenas-Lorena,8,3,2,1,Cleats,1
2017-07-22 07:16:00,2017-07-24 07:16:00,Second Class,Western Europe,Francia,Isla de Francia,7,2,2,0,Women's Apparel,0
2017-08-04 02:31:00,2017-08-08 02:31:00,Second Class,Northern Europe,Reino Unido,Inglaterra,8,4,2,1,Shop By Sport,1
2017-09-18 01:14:00,2017-09-21 01:14:00,Second Class,Western Europe,Alemania,Renania del Norte-Westfalia,9,3,2,1,Women's Apparel,1
2015-07-02 19:42:00,2015-07-08 19:42:00,Second Class,Western Europe,Francia,Provenza-Alpes-Costa Azul,7,6,2,1,Trade-In,1
2015-03-28 00:55:00,2015-04-03 00:55:00,Second Class,Central America,Guatemala,Guatemala,3,6,2,1,Cardio Equipment,1
2017-04-02 16:43:00,2017-04-07 16:43:00,Second Class,Central America,El Salvador,San Salvador,4,5,2,1,Cleats,1
2017-05-05 14:23:00,2017-05-09 14:23:00,Second Class,Central America,Panamá,Chiriquí,5,4,2,1,Cleats,1
2015-04-25 04:44:00,2015-04-30 04:44:00,Second Class,Caribbean,República Dominicana,Santo Domingo,4,5,2,1,Cleats,1
2015-04-25 01:14:00,2015-04-30 01:14:00,Second Class,South America,Venezuela,Zulia,4,5,2,1,Cleats,1
2015-04-25 01:14:00,2015-04-30 01:14:00,Second Class,South America,Venezuela,Zulia,4,5,2,1,Cleats,1
2017-06-06 15:03:00,2017-06-09 15:03:00,Second Class,Caribbean,República Dominicana,Santo Domingo,6,3,2,1,Cleats,1
2017-02-18 16:36:00,2017-02-22 16:36:00,Second Class,South America,Colombia,Risaralda,2,4,2,1,Cleats,1
2015-04-26 03:10:00,2015-04-30 03:10:00,Second Class,Central America,El Salvador,San Salvador,4,4,2,1,Women's Apparel,1
2015-04-10 00:02:00,2015-04-14 00:02:00,Second Class,Central America,Honduras,Francisco Morazán,4,4,2,1,Shop By Sport,1
2017-04-11 15:49:00,2017-04-15 15:49:00,Second Class,South America,Brasil,Bahía,4,4,2,1,Women's Apparel,1
2015-04-25 04:44:00,2015-04-30 04:44:00,Second Class,Caribbean,República Dominicana,Santo Domingo,4,5,2,1,Women's Apparel,1
2017-03-16 02:54:00,2017-03-22 02:54:00,Second Class,Central America,México,Distrito Federal,3,6,2,1,Women's Apparel,1
2015-03-29 10:33:00,2015-03-31 10:33:00,Second Class,Central America,México,Jalisco,3,2,2,0,Women's Apparel,0
2015-02-03 00:28:00,2015-02-07 00:28:00,Second Class,Central America,México,Puebla,2,4,2,1,Women's Apparel,1
2015-02-03 00:28:00,2015-02-07 00:28:00,Second Class,Central America,México,Puebla,2,4,2,1,Women's Apparel,1
2017-02-18 13:05:00,2017-02-22 13:05:00,Second Class,Central America,México,Distrito Federal,2,4,2,1,Women's Apparel,1
2017-01-18 19:37:00,2017-01-22 19:37:00,Second Class,South America,Brasil,São Paulo,1,4,2,1,Shop By Sport,1
2015-03-13 18:59:00,2015-03-18 18:59:00,Standard Class,South America,Uruguay,Montevideo,3,5,4,1,Women's Apparel,1
2017-02-07 09:47:00,2017-02-13 09:47:00,Standard Class,South America,Argentina,Buenos Aires,2,6,4,1,Shop By Sport,1
2015-04-03 19:08:00,2015-04-07 19:08:00,Standard Class,South America,Brasil,São Paulo,4,4,4,0,Shop By Sport,0
2017-04-13 14:25:00,2017-04-15 14:25:00,Standard Class,South America,Brasil,São Paulo,4,2,4,0,Women's Apparel,0
2015-04-02 03:33:00,2015-04-08 03:33:00,Standard Class,South America,Brasil,Paraná,4,6,4,1,Women's Apparel,1
2017-01-31 11:43:00,2017-02-02 11:43:00,Standard Class,Caribbean,Cuba,Camagüey,1,2,4,0,Shop By Sport,0
2017-03-30 23:12:00,2017-04-02 23:12:00,Standard Class,Caribbean,Cuba,Las Tunas,3,3,4,0,Shop By Sport,0
2017-03-25 23:02:00,2017-03-30 23:02:00,Standard Class,Caribbean,República Dominicana,Santo Domingo,3,5,4,1,Women's Apparel,1
2017-02-05 01:01:00,2017-02-09 01:01:00,Standard Class,Central America,México,Nayarit,2,4,4,0,Women's Apparel,0
2017-04-15 14:04:00,2017-04-18 14:04:00,Standard Class,Central America,Panamá,Panamá,4,3,4,0,Shop By Sport,0
2015-02-15 18:40:00,2015-02-18 18:40:00,Standard Class,Central America,México,México,2,3,4,0,Women's Apparel,0
2017-05-27 16:48:00,2017-05-30 16:48:00,Standard Class,South America,Brasil,Alagoas,5,3,4,0,Women's Apparel,0
2015-02-25 20:46:00,2015-03-01 20:46:00,Standard Class,Central America,Panamá,Chiriquí,2,4,4,0,Shop By Sport,0
2017-05-31 11:33:00,2017-06-02 11:33:00,Standard Class,South America,Brasil,Minas Gerais,5,2,4,0,Women's Apparel,0
2015-01-15 04:32:00,2015-01-19 04:32:00,Standard Class,Caribbean,Cuba,Santiago de Cuba,1,4,4,0,Shop By Sport,0
2017-04-26 15:16:00,2017-05-01 15:16:00,Standard Class,Central America,Honduras,Cortés,4,5,4,1,Women's Apparel,1
2017-03-07 19:12:00,2017-03-13 19:12:00,Standard Class,South America,Perú,Lima (ciudad),3,6,4,1,Women's Apparel,1
2017-04-20 18:47:00,2017-04-24 18:47:00,Standard Class,Caribbean,Cuba,Holguín,4,4,4,0,Women's Apparel,0
2017-03-03 06:14:00,2017-03-08 06:14:00,Standard Class,Central America,México,Veracruz,3,5,4,1,Women's Apparel,1
2017-06-04 16:06:00,2017-06-08 16:06:00,Standard Class,Central America,Nicaragua,Managua,6,4,4,0,Shop By Sport,0
2017-05-16 21:33:00,2017-05-19 21:33:00,Standard Class,Central America,México,Tabasco,5,3,4,0,Women's Apparel,0
2017-02-07 09:47:00,2017-02-13 09:47:00,Standard Class,South America,Argentina,Buenos Aires,2,6,4,1,Women's Apparel,1
2015-05-27 01:32:00,2015-05-30 01:32:00,Standard Class,South America,Brasil,Ceará,5,3,4,0,Women's Apparel,0
2017-03-28 05:20:00,2017-04-02 05:20:00,Standard Class,Central America,El Salvador,San Salvador,3,5,4,1,Electronics,1
2017-02-05 01:01:00,2017-02-09 01:01:00,Standard Class,Central America,México,Nayarit,2,4,4,0,Electronics,0
2017-05-02 03:00:00,2017-05-08 03:00:00,Standard Class,Central America,Guatemala,Guatemala,5,6,4,1,Kids' Golf Clubs,1
2017-04-03 23:53:00,2017-04-07 23:53:00,Standard Class,Caribbean,Cuba,Isla de la Juventud,4,4,4,0,Hunting & Shooting,0
2015-04-30 23:49:00,2015-05-02 23:49:00,Standard Class,South America,Argentina,Buenos Aires,4,2,4,0,Baseball & Softball,0
2017-04-27 03:32:00,2017-05-02 03:32:00,Standard Class,Central America,Guatemala,Chimaltenango,4,5,4,1,Cardio Equipment,1
2015-02-02 03:27:00,2015-02-06 03:27:00,Standard Class,Central America,Guatemala,Guatemala,2,4,4,0,Cardio Equipment,0
2017-02-13 16:05:00,2017-02-18 16:05:00,Standard Class,South America,Ecuador,Pichincha,2,5,4,1,Cardio Equipment,1
2017-05-27 23:28:00,2017-05-29 23:28:00,Standard Class,Central America,Nicaragua,Managua,5,2,4,0,Cardio Equipment,0
2017-03-19 19:53:00,2017-03-24 19:53:00,Standard Class,South America,Venezuela,Guárico,3,5,4,1,Cardio Equipment,1
2015-05-07 15:56:00,2015-05-11 15:56:00,Standard Class,Central America,Panamá,Panamá,5,4,4,0,Cardio Equipment,0
2015-04-27 11:23:00,2015-05-03 11:23:00,Standard Class,Central America,Panamá,Panamá,4,6,4,1,Cardio Equipment,1
2017-04-14 18:06:00,2017-04-20 18:06:00,Standard Class,Central America,Guatemala,Guatemala,4,6,4,1,Cardio Equipment,1
2015-05-07 01:13:00,2015-05-09 01:13:00,Standard Class,South America,Brasil,São Paulo,5,2,4,0,Cardio Equipment,0
2017-06-12 05:55:00,2017-06-15 05:55:00,Standard Class,South America,Brasil,Marañón,6,3,4,0,Boxing & MMA,0
2017-03-26 15:30:00,2017-03-28 15:30:00,Standard Class,Central America,Nicaragua,León,3,2,4,0,Cleats,0
2017-02-17 11:52:00,2017-02-19 11:52:00,Standard Class,Central America,México,Distrito Federal,2,2,4,0,Cleats,0
2017-01-25 01:13:00,2017-01-31 01:13:00,Standard Class,Central America,El Salvador,San Salvador,1,6,4,1,Cleats,1
2017-02-06 06:27:00,2017-02-09 06:27:00,Standard Class,South America,Argentina,Río Negro,2,3,4,0,Cleats,0
2017-05-22 06:08:00,2017-05-27 06:08:00,Standard Class,Central America,El Salvador,San Salvador,5,5,4,1,Cleats,1
2017-02-21 01:00:00,2017-02-26 01:00:00,Standard Class,Central America,Honduras,Atlántida,2,5,4,1,Cleats,1
2015-01-06 19:26:00,2015-01-11 19:26:00,Standard Class,Central America,México,Veracruz,1,5,4,1,Cleats,1
2017-01-15 04:44:00,2017-01-21 04:44:00,Second Class,Central Africa,Angola,Bié,1,6,2,1,Cardio Equipment,1
2016-10-28 19:23:00,2016-11-03 19:23:00,Second Class,North Africa,Sudán,Jartum,10,6,2,1,Men's Footwear,1
2016-09-19 13:39:00,2016-09-22 13:39:00,Second Class,East Africa,Somalia,Gobolka Woqooyi Galbeed,9,3,2,1,Men's Footwear,1
2016-08-25 22:16:00,2016-08-30 22:16:00,Second Class,North Africa,Marruecos,Garb-Chrarda-Beni Hsen,8,5,2,1,Men's Footwear,1
2016-10-28 19:23:00,2016-11-03 19:23:00,Second Class,North Africa,Sudán,Jartum,10,6,2,1,Cleats,1
2016-10-07 23:26:00,2016-10-11 23:26:00,Second Class,West Africa,Costa de Marfil,Lagunes,10,4,2,1,Men's Footwear,1
2016-11-03 21:49:00,2016-11-07 21:49:00,Second Class,North Africa,Egipto,Ash Sharqiyah,11,4,2,1,Camping & Hiking,1
2016-08-25 22:16:00,2016-08-30 22:16:00,Second Class,North Africa,Marruecos,Garb-Chrarda-Beni Hsen,8,5,2,1,Camping & Hiking,1
2017-11-03 13:05:00,2017-11-06 13:05:00,Second Class,Southern Europe,Italia,Umbría,11,3,2,1,Consumer Electronics,1
2017-10-14 11:42:00,2017-10-18 11:42:00,Second Class,Western Europe,Alemania,Bavaria,10,4,2,1,Cameras ,1
2017-11-04 01:21:00,2017-11-07 01:21:00,Second Class,Western Europe,Francia,Alsacia-Champaña-Ardenas-Lorena,11,3,2,1,Consumer Electronics,1
2017-10-16 01:12:00,2017-10-22 01:12:00,Second Class,Western Europe,Alemania,Sajonia-Anhalt,10,6,2,1,Cameras ,1
2017-11-03 18:20:00,2017-11-06 18:20:00,Second Class,Western Europe,Alemania,Bremen,11,3,2,1,Consumer Electronics,1
2017-10-13 03:08:00,2017-10-19 03:08:00,Second Class,Southern Europe,Italia,Campania,10,6,2,1,Cameras ,1
2017-11-02 10:06:00,2017-11-08 10:06:00,Second Class,Western Europe,Alemania,Renania del Norte-Westfalia,11,6,2,1,Consumer Electronics,1
2017-10-29 12:55:00,2017-11-03 12:55:00,Second Class,Northern Europe,Reino Unido,Inglaterra,10,5,2,1,Computers,1
2017-10-13 08:44:00,2017-10-15 08:44:00,Second Class,Western Europe,Francia,Isla de Francia,10,2,2,0,Cameras ,0
2017-10-11 06:17:00,2017-10-14 06:17:00,Second Class,Western Europe,Alemania,Renania del Norte-Westfalia,10,3,2,1,Cameras ,1
2017-10-30 01:10:00,2017-11-04 01:10:00,Second Class,Northern Europe,Reino Unido,Inglaterra,10,5,2,1,Computers,1
2017-10-13 14:41:00,2017-10-17 14:41:00,Second Class,Southern Europe,Italia,Sicilia,10,4,2,1,Cameras ,1
2017-11-03 03:58:00,2017-11-05 03:58:00,Second Class,Northern Europe,Reino Unido,Inglaterra,11,2,2,0,Consumer Electronics,0
2017-10-10 04:21:00,2017-10-14 04:21:00,Second Class,Southern Europe,Italia,Sicilia,10,4,2,1,Cameras ,1
2017-11-04 05:12:00,2017-11-08 05:12:00,Second Class,Southern Europe,España,Madrid,11,4,2,1,Consumer Electronics,1
2017-10-26 14:51:00,2017-10-31 14:51:00,Second Class,Western Europe,Francia,Alsacia-Champaña-Ardenas-Lorena,10,5,2,1,Computers,1
2017-10-13 13:59:00,2017-10-15 13:59:00,Second Class,Southern Europe,España,Cataluña,10,2,2,0,Cameras ,0
2017-11-01 20:05:00,2017-11-07 20:05:00,Second Class,Western Europe,Francia,Norte-Paso de Calais-Picardía,11,6,2,1,Consumer Electronics,1
2017-10-17 11:32:00,2017-10-21 11:32:00,Second Class,Northern Europe,Reino Unido,Inglaterra,10,4,2,1,Cameras ,1
2017-11-01 19:02:00,2017-11-04 19:02:00,Second Class,Western Europe,Francia,Isla de Francia,11,3,2,1,Consumer Electronics,1
2017-10-13 12:35:00,2017-10-16 12:35:00,Second Class,Western Europe,Francia,Aquitania-Lemosín-Poitou-Charentes,10,3,2,1,Cameras ,1
2017-11-01 18:20:00,2017-11-07 18:20:00,Second Class,Northern Europe,Reino Unido,Escocia,11,6,2,1,Consumer Electronics,1
2017-11-01 05:44:00,2017-11-06 05:44:00,Second Class,Southern Europe,Italia,Campania,11,5,2,1,Consumer Electronics,1
2017-11-02 13:15:00,2017-11-07 13:15:00,Second Class,Western Europe,Alemania,Baja Sajonia,11,5,2,1,Consumer Electronics,1
2017-10-13 18:11:00,2017-10-17 18:11:00,Second Class,Northern Europe,Reino Unido,Inglaterra,10,4,2,1,Cameras ,1
2017-10-11 22:03:00,2017-10-14 22:03:00,Second Class,Southern Europe,Italia,Sicilia,10,3,2,1,Cameras ,1
2017-11-03 14:08:00,2017-11-09 14:08:00,Second Class,Western Europe,Alemania,Baja Sajonia,11,6,2,1,Consumer Electronics,1
2017-10-26 18:21:00,2017-10-31 18:21:00,Second Class,Northern Europe,Reino Unido,Inglaterra,10,5,2,1,Computers,1
2017-10-11 02:26:00,2017-10-13 02:26:00,Second Class,Northern Europe,Reino Unido,Escocia,10,2,2,0,Cameras ,0
2017-10-02 11:01:00,2017-10-07 11:01:00,Second Class,Western Europe,Francia,Isla de Francia,10,5,2,1,Basketball,1
2017-09-08 03:42:00,2017-09-13 03:42:00,Second Class,Southern Europe,España,País Vasco,9,5,2,1,Soccer,1
2015-09-17 23:17:00,2015-09-23 23:17:00,Second Class,Northern Europe,Suecia,Estocolmo,9,6,2,1,Baseball & Softball,1
2015-10-02 07:40:00,2015-10-06 07:40:00,Second Class,Northern Europe,Reino Unido,Inglaterra,10,4,2,1,Electronics,1
2017-08-08 10:13:00,2017-08-13 10:13:00,Second Class,Western Europe,Alemania,Baja Sajonia,8,5,2,1,Cardio Equipment,1
2015-08-17 18:35:00,2015-08-21 18:35:00,Second Class,Northern Europe,Reino Unido,Inglaterra,8,4,2,1,Cardio Equipment,1
2015-09-23 09:57:00,2015-09-27 09:57:00,Second Class,Western Europe,Países Bajos,Holanda Septentrional,9,4,2,1,Electronics,1
2015-10-23 08:31:00,2015-10-28 08:31:00,Second Class,Western Europe,Austria,Viena,10,5,2,1,Cardio Equipment,1
2015-07-11 18:49:00,2015-07-16 18:49:00,Second Class,Western Europe,Austria,Viena,7,5,2,1,Cardio Equipment,1
2016-05-08 17:42:00,2016-05-13 17:42:00,Standard Class,US Center ,Estados Unidos,Texas,5,5,4,1,Electronics,0
2016-04-02 19:51:00,2016-04-07 19:51:00,Standard Class,West of USA ,Estados Unidos,Arizona,4,5,4,1,Cardio Equipment,0
2016-08-14 02:51:00,2016-08-20 02:51:00,Standard Class,West of USA ,Estados Unidos,California,8,6,4,1,Cardio Equipment,0
2016-04-02 19:51:00,2016-04-07 19:51:00,Standard Class,West of USA ,Estados Unidos,Arizona,4,5,4,1,Cardio Equipment,0
2016-05-18 16:38:00,2016-05-20 16:38:00,Standard Class,West of USA ,Estados Unidos,California,5,2,4,0,Cleats,0
2016-05-05 13:40:00,2016-05-08 13:40:00,Standard Class,West of USA ,Estados Unidos,Arizona,5,3,4,0,Cleats,0
2016-04-21 02:50:00,2016-04-24 02:50:00,Standard Class,East of USA,Estados Unidos,Ohio,4,3,4,0,Cleats,0
2016-07-01 08:10:00,2016-07-03 08:10:00,Standard Class,US Center ,Estados Unidos,Indiana,7,2,4,0,Shop By Sport,0
2016-04-21 02:50:00,2016-04-24 02:50:00,Standard Class,East of USA,Estados Unidos,Ohio,4,3,4,0,Girls' Apparel,0
2016-12-17 08:48:00,2016-12-23 08:48:00,Standard Class,Canada,Canada,Ontario,12,6,4,1,Women's Apparel,0
2016-05-08 17:42:00,2016-05-13 17:42:00,Standard Class,US Center ,Estados Unidos,Texas,5,5,4,1,Women's Apparel,0
2016-12-17 08:48:00,2016-12-23 08:48:00,Standard Class,Canada,Canada,Ontario,12,6,4,1,Women's Apparel,0
2016-08-30 14:02:00,2016-09-03 14:02:00,Standard Class,Canada,Canada,Ontario,8,4,4,0,Shop By Sport,0
2016-07-27 06:01:00,2016-07-29 06:01:00,Standard Class,East of USA,Estados Unidos,Pensilvania,7,2,4,0,Shop By Sport,0
2016-07-17 10:14:00,2016-07-21 10:14:00,Standard Class,US Center ,Estados Unidos,Illinois,7,4,4,0,Accessories,0
2016-07-06 10:26:00,2016-07-12 10:26:00,Standard Class,US Center ,Estados Unidos,Illinois,7,6,4,1,Trade-In,0
2016-09-09 22:05:00,2016-09-11 22:05:00,Standard Class,East Africa,Madagascar,Analamanga,9,2,4,0,Cleats,0
2016-08-26 12:38:00,2016-09-01 12:38:00,Standard Class,North Africa,Argelia,Alger,8,6,4,1,Cleats,0
2017-01-16 22:04:00,2017-01-20 22:04:00,Standard Class,West Africa,Liberia,Montserrado,1,4,4,0,Women's Apparel,0
2017-01-16 22:04:00,2017-01-20 22:04:00,Standard Class,West Africa,Liberia,Montserrado,1,4,4,0,Shop By Sport,0
2016-09-28 10:19:00,2016-10-03 10:19:00,Standard Class,North Africa,Sudán,Jartum,9,5,4,1,Women's Apparel,0
2016-09-03 15:26:00,2016-09-05 15:26:00,Standard Class,West Africa,Costa de Marfil,Fromager,9,2,4,0,Accessories,0
2016-09-16 01:13:00,2016-09-18 01:13:00,Standard Class,East Africa,Zambia,Meridional,9,2,4,0,Cardio Equipment,0
2016-10-20 03:59:00,2016-10-24 03:59:00,Standard Class,North Africa,Marruecos,Fez-Bulmán,10,4,4,0,Cleats,0
2017-01-07 00:11:00,2017-01-12 00:11:00,Standard Class,North Africa,Egipto,El Cairo,1,5,4,1,Cleats,1
2016-10-10 06:06:00,2016-10-15 06:06:00,Standard Class,West Africa,Senegal,Dakar,10,5,4,1,Cleats,1
